trial,failed,cause,disp_r_R_m,disp_r_T_m,disp_r_N_m,disp_v_R_mps,disp_v_T_mps,disp_v_N_mps,disp_r_norm_m,disp_v_norm_mps,predicted_miss_m,t_closest_s,min_range_m,r_cor_entry_t_s,r_cor_entry_speed_mps,dv_tag_total_mps,dv_node_total_mps,tag_ddm_duty,tag_medt_duty,tag_sat_cmd_frac,terminal_sat_frac,terminal_sat_steps,terminal_steps
83,True,no_R_COR_large_alongtrack_position_dispersion,41.59716235725128,-165.37198117003476,-2.8366920469774506,-0.008218522728251982,0.028784907269324075,-0.0030830420526288416,170.5469521687422,0.030093523400171313,7.455410029308222e-05,6685.0,69.34594350785865,nan,nan,0.7903981807581446,0.0,0.63705759888966,1.0,0.30811936155447606,0.0,0,0
95,True,no_R_COR_moderate_coupled_dispersion,-13.209832498156025,-44.65583763131295,14.49585808560603,-0.018066433571326663,-0.02011735002388504,-0.004255092685150375,48.77267073701782,0.027371693548808532,7.455410029308222e-05,6870.0,11.426059862672497,nan,nan,0.309320266679221,0.0,0.4302567661346287,1.0,0.12421929215822346,0.0,0,0
112,True,no_R_COR_large_alongtrack_position_dispersion,49.601678345442224,-163.16959892280573,18.64584941837856,-0.009862864579635651,0.029804828947488454,-0.005381305129493064,171.55848043115458,0.031852195704566204,7.455410029308222e-05,6515.0,101.3513158454048,nan,nan,0.8245286488881892,0.0,0.5412907702984039,1.0,0.33587786259541985,0.0,0,0
122,True,no_R_COR_moderate_coupled_dispersion,41.55356404216154,19.787096013881126,2.1444431369084604,-0.01848184269657764,0.012356070435249854,0.005526002172530596,46.074141225160176,0.022908244936544322,7.455410029308222e-05,6920.0,17.23655231196078,nan,nan,1.2982056141813607,0.0,0.3754337265787647,1.0,0.34836918806384454,0.0,0,0
127,True,no_R_COR_large_alongtrack_velocity_dispersion,-48.024061777574424,83.51301793253805,11.332750752876475,0.004214960333845719,-0.041159942671827154,-0.008151010251074921,97.0008552201656,0.04217043679495292,7.455410029308222e-05,6950.0,15.3596272923298,nan,nan,0.8745484001499113,0.0,0.6002775850104094,1.0,0.23455933379597502,0.0,0,0
178,True,no_R_COR_moderate_coupled_dispersion,42.25240524909853,-14.132550129477522,11.091530408859242,0.006554453730703638,0.02568308051653144,-0.0022497976478152194,45.9131437532532,0.026601561570379406,7.455410029308222e-05,6815.0,46.16439828222269,nan,nan,0.9865910634511087,0.0,0.3108952116585704,1.0,0.3102012491325468,0.0,0,0
196,True,no_R_COR_large_alongtrack_position_dispersion,45.88131884947063,-194.5977043881923,-4.371873701622002,0.01675856513306755,-0.026595261028962137,-0.0003703556109258283,199.9811872456607,0.03143715282585947,7.455410029308222e-05,6850.0,31.528969336665035,nan,nan,0.6532401727654156,0.0,0.5829285218598196,1.0,0.24219292158223457,0.0,0,0
202,True,no_R_COR_large_alongtrack_velocity_dispersion,33.03573043484663,-36.784305193374905,6.808391128497114,0.00837888132765165,0.04770395135134557,-0.007386018332914788,49.90790301827756,0.048994141421690084,7.455410029308222e-05,6895.0,13.63470575354765,nan,nan,1.030510687779579,0.0,0.3337959750173491,1.0,0.24843858431644691,0.0,0,0
216,True,no_R_COR_moderate_coupled_dispersion,48.08924672156478,-135.31895616794952,16.652221013648763,0.01251631608578355,0.028220281579607973,0.0038235438400814805,144.57209970571216,0.031107265201052794,7.455410029308222e-05,6520.0,100.37572642070668,nan,nan,0.8086618015750657,0.0,0.5829285218598196,1.0,0.29562803608605137,0.0,0,0
221,True,no_R_COR_large_alongtrack_velocity_dispersion,45.89387026793098,-108.21124078282725,-0.3820304895456772,0.010043705772765164,0.043432249570592135,-0.005691571127105772,117.54176239628039,0.04494029717644267,7.455410029308222e-05,6545.0,87.64154397536707,nan,nan,0.7473213195929974,0.0,0.2741151977793199,1.0,0.3511450381679389,0.0,0,0
